arm,kept_docs,loss_code,loss_forum_qa,loss_news,loss_recipes,seed,selection,train_tokens,unique_content_tokens,validation_loss
uniform,195,2.517606,2.88936,2.646605,2.895263,11,grid,20000,20000,2.689548
observed,195,2.47547,2.798745,2.696149,3.07987,11,grid,20000,20000,2.663912
code_heavy,195,2.393318,3.121495,2.699859,3.134167,11,grid,20000,20000,2.740184
proxy_selected_observed,195,2.47547,2.798745,2.696149,3.07987,11,proxy,20000,20000,2.663912
uniform,195,2.627447,2.685324,2.642475,2.797284,23,grid,20000,20000,2.654475
observed,195,2.652325,2.772678,2.547003,2.873178,23,grid,20000,20000,2.635294
code_heavy,195,2.368638,2.845011,2.966712,2.983201,23,grid,20000,20000,2.802526
proxy_selected_uniform,195,2.627447,2.685324,2.642475,2.797284,23,proxy,20000,20000,2.654475
uniform,195,2.65379,2.819147,2.527871,2.814427,37,grid,20000,20000,2.638458
observed,195,2.76749,2.6152,2.553989,2.968206,37,grid,20000,20000,2.681579
code_heavy,195,2.268654,3.069637,3.104366,3.296828,37,grid,20000,20000,2.87209
proxy_selected_observed,195,2.76749,2.6152,2.553989,2.968206,37,proxy,20000,20000,2.681579
